X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.432717249,-0.793327594,9.838750954,-0.11,0,-0.03,21.23901582,0,0
0.439668915,-0.917999288,9.75690105,-0.14,-0.01,-0.03,21.29342651,0,0
0.276318132,-0.831477479,9.822809622,-0.07,-0.02,-0.02,21.349262,0,0
0.063262462,-0.682633751,9.870891067,0.01,-0.03,0,21.40536308,0,0
-0.037146483,-0.70134121,9.801245873,0.01,-0.04,0,21.46015573,0,0
0.015049487,-0.861513619,9.788479439,-0.03,0.01,0,21.51519489,0,0
0.1713237,-0.94836584,9.837224844,-0.03,-0.01,0.01,21.57008195,0,0
0.374319873,-0.880672991,9.786656632,-0.04,-0.02,0.01,21.62509704,0,0
0.498707547,-0.784236037,9.743548035,-0.05,-0.01,-0.03,21.68033004,0,0
0.45164307,-0.766616089,9.851288451,-0.03,0.01,-0.06,21.73618603,0,0
0.346099292,-0.792034199,9.927991047,-0.02,0,-0.09,21.79112005,0,0
0.314700465,-0.80933501,9.8421762,-0.07,-0.02,-0.07,21.84629679,0,0
0.275196829,-0.845395041,9.774335213,-0.08,0.01,-0.03,21.90334821,0,0
0.141374295,-0.892446956,9.822574598,-0.03,-0.03,-0.01,21.95720601,0,0
0.057241838,-0.860493659,9.837257748,-0.02,-0.01,-0.01,22.01320076,0,0
0.1596954,-0.756103251,9.77051918,-0.06,0,-0.03,22.0691731,0,0
0.30798861,-0.720407263,9.781920564,-0.07,0,-0.03,22.1246841,0,0
0.290461707,-0.775330389,9.892477065,-0.03,0.01,-0.01,22.18119645,0,0
0.158073254,-0.794867382,9.891385911,-0.02,-0.01,0.01,22.23568106,0,0
0.12562277,-0.791034906,9.757885739,-0.07,-0.03,-0.01,22.29099298,0,0
0.220520933,-0.857864725,9.760177766,-0.06,-0.01,-0.03,22.34736419,0,0
0.278143653,-0.86059226,9.927864751,-0.03,0,-0.03,22.40336823,0,0
0.254138233,-0.651655675,9.95886107,0,-0.03,-0.01,22.45808959,0,0
0.256321088,-0.475462315,9.793529478,-0.04,-0.01,0.01,22.5131495,0,0
0.294174518,-0.629160636,9.696504876,-0.09,0.02,-0.04,22.56812572,0,0
0.288096008,-0.889504528,9.770544729,-0.09,0.03,-0.06,22.62319827,0,0
0.255464224,-0.827705586,9.888564372,-0.01,-0.02,-0.04,22.67829561,0,0
0.243309322,-0.539493779,9.955757066,0.05,-0.02,-0.03,22.73411202,0,0
0.20740955,-0.502371061,9.932306111,-0.03,-0.01,-0.04,22.78930593,0,0
0.125784433,-0.792667111,9.825900924,-0.17,0.02,-0.04,22.84521151,0,0
0.0821835,-1.000300684,9.747007918,-0.15,0.02,-0.03,22.89967918,0,0
0.142524115,-0.918985168,9.771139665,-0.02,-0.01,0,22.95493412,0,0
0.255339651,-0.78545041,9.842830199,0.03,-0.03,0,23.01002836,0,0
0.310419326,-0.779520591,9.90399089,-0.03,0,-0.01,23.06462336,0,0
0.257669051,-0.78947829,9.92767533,-0.08,0,-0.02,23.12127376,0,0
0.156806835,-0.745840654,9.876806397,-0.05,-0.02,-0.04,23.17700934,0,0
0.091098453,-0.745981237,9.80408298,-0.02,-0.01,-0.05,23.2332139,0,0
0.076466321,-0.798474346,9.818155985,-0.04,-0.02,-0.03,23.28934526,0,0
0.116941482,-0.796746597,9.868423857,-0.05,0.01,0,23.34539151,0,0
0.233937125,-0.745142854,9.819437043,-0.03,-0.03,0.02,23.40064359,0,0
0.356978879,-0.737486958,9.719362168,-0.05,0,0,23.45522189,0,0
0.35729633,-0.744827304,9.723225085,-0.06,-0.01,-0.04,23.51032948,0,0
0.248622135,-0.665140085,9.834712221,-0.04,-0.01,-0.04,23.56670976,0,0
0.159277762,-0.566919158,9.938262092,-0.03,-0.03,-0.04,23.6222043,0,0
0.114045106,-0.628879439,9.970735219,-0.04,0,-0.04,23.67838693,0,0
0.061064368,-0.806093997,9.923445604,-0.07,-0.01,-0.03,23.73662782,0,0
0.052754744,-0.837583677,9.807767795,-0.08,-0.01,-0.01,23.79017138,0,0
0.165046301,-0.653585155,9.720998089,-0.04,-0.03,0,23.84593272,0,0
0.316949327,-0.487092118,9.788362448,-0.02,-0.01,-0.02,23.90232182,0,0
0.384116287,-0.512346559,9.942803544,-0.03,0,-0.01,23.95780706,0,0
0.377971589,-0.645147977,9.967885929,-0.05,-0.01,-0.01,24.0132103,0,0
0.337836518,-0.753554495,9.835857443,-0.07,-0.01,-0.02,24.06932712,0,0
0.223932239,-0.815595829,9.742648988,-0.05,0,-0.04,24.12524986,0,0
0.076704966,-0.818624117,9.77156496,-0.04,-0.02,-0.04,24.18037438,0,0
0.063746266,-0.725214674,9.810607619,0.01,-0.01,-0.03,24.23569465,0,0
0.218645823,-0.59951298,9.809702492,0.01,-0.02,-0.01,24.29082274,0,0
0.345421021,-0.586075366,9.840004982,-0.05,0,-0.01,24.34624648,0,0
0.308728554,-0.701131538,9.898273981,-0.11,0.02,-0.01,24.40116715,0,0
0.228030708,-0.787578985,9.899122443,-0.06,-0.01,0,24.4574635,0,0
0.251624212,-0.741082437,9.850450675,-0.03,-0.03,-0.03,24.51228881,0,0
0.297935854,-0.657984907,9.835743066,-0.05,-0.01,-0.05,24.56814575,0,0
0.21401523,-0.664835165,9.860498782,-0.06,-0.02,-0.01,24.62422657,0,0
0.079212868,-0.716343202,9.869109187,-0.03,-0.02,0.03,24.67988396,0,0
0.085208908,-0.7059041,9.859673397,-0.01,-0.03,0.02,24.73518062,0,0
0.198885351,-0.664993275,9.865865933,-0.05,-0.01,0.02,24.79017568,0,0
0.250689047,-0.683846422,9.867505166,-0.1,0.02,-0.01,24.84510374,0,0
0.235854456,-0.745201098,9.830889621,-0.13,0.01,-0.01,24.90118337,0,0
0.231728994,-0.772824719,9.810558642,-0.09,-0.02,0.02,24.95572257,0,0
0.219796519,-0.732865889,9.860595936,-0.03,-0.01,0,25.01163077,0,0
0.204227336,-0.635925879,9.899369192,-0.03,-0.01,-0.03,25.06555343,0,0
0.239417835,-0.54426372,9.865997475,-0.07,-0.01,-0.04,25.12130475,0,0
0.280853993,-0.53852324,9.857402452,-0.05,0,-0.04,25.17818785,0,0
0.27270652,-0.613998545,9.897318345,0,0,-0.01,25.23319197,0,0
0.267068522,-0.700737855,9.863193242,-0.03,-0.02,0,25.28933787,0,0
0.274463373,-0.759264,9.777369682,-0.07,0.01,0,25.34514093,0,0
0.23323273,-0.761228264,9.785162349,-0.09,0,-0.01,25.40043044,0,0
0.179693957,-0.6934349,9.8604158,-0.05,-0.01,-0.02,25.45498371,0,0
0.185690767,-0.630993276,9.894488807,-0.02,-0.03,-0.04,25.51050138,0,0
0.199513094,-0.659852357,9.901521141,-0.04,-0.01,-0.05,25.56803513,0,0
0.158765234,-0.750672963,9.89415759,-0.07,-0.01,-0.02,25.62305474,0,0
0.118136568,-0.813141212,9.826491639,-0.05,-0.01,0.02,25.67923141,0,0
0.145415466,-0.805602321,9.758091702,-0.04,-0.01,0.02,25.73424172,0,0
0.235571702,-0.762072121,9.798415007,-0.05,0,-0.01,25.78925037,0,0
0.349437542,-0.756056397,9.895790029,-0.05,0,-0.03,25.84423614,0,0
0.41961255,-0.797921301,9.90449992,-0.03,-0.01,-0.02,25.89921546,0,0
